seq,type,date,time,location
1,自行車竊盜,1020630,13~15,台北市松山區三民路151 ~ 180號
2,自行車竊盜,1040101,16~18,台北市大安區住安里四維路124巷1~30號
3,自行車竊盜,1040104,07~09,台北市大安區敦煌里仁愛路四段266巷1~30號
4,自行車竊盜,1040106,13~15,台北市萬華區國興路1~30號
5,自行車竊盜,1040108,07~09,台北市北投區清江里三合街二段481~510號
6,自行車竊盜,1040108,16~18,台北市松山區延壽街391~420號
7,自行車竊盜,1040109,04~06,台北市南港區三重里南港路一段南港展覽館站
8,自行車竊盜,1040109,13~15,台北市內湖區金湖里康寧路三段31~60號
9,自行車竊盜,1040109,13~15,台北市北投區大同里光明路1~30號
10,自行車竊盜,1040110,04~06,台北市內湖區康寧路三段31~60號
11,自行車竊盜,1040110,10~12,台北市松山區三民路121~150號
12,自行車竊盜,1040110,16~18,台北市萬華區西昌街29巷1~30號
13,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31~60號
14,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31~60號
15,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31~60號
16,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31~60號
17,自行車竊盜,1040111,07~09,台北市南港區東明里東明街31~60號
18,自行車竊盜,1040111,07~09,台北市萬華區萬大路387巷1~30號
19,自行車竊盜,1040111,13~15,台北市北投區大同里光明路1~30號
20,自行車竊盜,1040113,10~12,台北市中正區忠孝東路一段31~60號
21,自行車竊盜,1040115,07~09,台北市信義區中行里福德街221巷4弄1~30號
22,自行車竊盜,1040116,04~06,台北市松山區撫遠街361~390號
23,自行車竊盜,1040117,16~18,台北市大安區仁慈里仁愛路四段1~30號
24,自行車竊盜,1040118,07~09,台北市萬華區西園路二段91~120號
25,自行車竊盜,1040119,07~09,台北市信義區大道里忠孝東路五段781~810號
26,自行車竊盜,1040120,10~12,台北市信義區西村里松壽路1~30號
27,自行車竊盜,1040121,10~12,台北市內湖區南湖里東湖捷運站
28,自行車竊盜,1040121,10~12,台北市內湖區港墘里內湖路一段661~690號
29,自行車竊盜,1040122,22~24,台北市北投區一德里中央北路四段577巷27弄1~30號
30,自行車竊盜,1040123,16~18,台北市南港區東明里南港路二段1~30號
31,自行車竊盜,1040123,16~18,台北市南港區東明里南港路二段與興華路口
32,自行車竊盜,1040123,19~21,台北市北投區東華里東華街二段301~330號
33,自行車竊盜,1040123,19~21,台北市北投區石牌里自強街91~120號
